Model: mistralai_Mistral-7B-v0.1  r_cap=4  W=4096  scheme=bitmap+mantissa-borrow
layer                                                        numel   saved%   loss_ct   loss%   SNR(dB)  rms_norm%
model.layers.14.self_attn.k_proj.weight                  4,194,304   18.74%       338  0.008%     67.47    0.0423%
model.layers.14.self_attn.o_proj.weight                 16,777,216   18.74%     1,354  0.008%     66.70    0.0462%
model.layers.14.self_attn.q_proj.weight                 16,777,216   18.74%     1,248  0.007%     67.18    0.0437%
model.layers.14.self_attn.v_proj.weight                  4,194,304   18.74%       327  0.008%     65.44    0.0534%
model.layers.15.input_layernorm.weight                       4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.15.mlp.down_proj.weight                    58,720,256   18.74%     4,212  0.007%     67.30    0.0431%
model.layers.15.mlp.gate_proj.weight                    58,720,256   18.74%     4,039  0.007%     68.25    0.0387%
model.layers.15.mlp.up_proj.weight                      58,720,256   18.74%     3,972  0.007%     71.10    0.0279%
model.layers.15.post_attention_layernorm.weight              4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.15.self_attn.k_proj.weight                  4,194,304   18.74%       357  0.009%     63.52    0.0667%
model.layers.15.self_attn.o_proj.weight                 16,777,216   18.74%     1,239  0.007%     69.56    0.0333%
model.layers.15.self_attn.q_proj.weight                 16,777,216   18.74%     1,314  0.008%     66.56    0.0470%
model.layers.15.self_attn.v_proj.weight                  4,194,304   18.74%       324  0.008%     68.50    0.0376%
model.layers.16.input_layernorm.weight                       4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.16.mlp.down_proj.weight                    58,720,256   18.74%     4,261  0.007%     66.64    0.0466%
model.layers.16.mlp.gate_proj.weight                    58,720,256   18.74%     4,251  0.007%     67.10    0.0442%
model.layers.16.mlp.up_proj.weight                      58,720,256   18.74%     3,944  0.007%     71.42    0.0269%
model.layers.16.post_attention_layernorm.weight              4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.16.self_attn.k_proj.weight                  4,194,304   18.74%       379  0.009%     67.22    0.0436%
model.layers.16.self_attn.o_proj.weight                 16,777,216   18.74%     1,280  0.008%     72.45    0.0239%
model.layers.16.self_attn.q_proj.weight                 16,777,216   18.74%     1,316  0.008%     67.54    0.0420%
model.layers.16.self_attn.v_proj.weight                  4,194,304   18.74%       326  0.008%     73.92    0.0201%
model.layers.17.input_layernorm.weight                       4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.17.mlp.down_proj.weight                    58,720,256   18.74%     4,121  0.007%     66.24    0.0487%
model.layers.17.mlp.gate_proj.weight                    58,720,256   18.74%     4,096  0.007%     67.77    0.0409%
model.layers.17.mlp.up_proj.weight                      58,720,256   18.74%     4,055  0.007%     69.94    0.0318%
model.layers.17.post_attention_layernorm.weight              4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.17.self_attn.k_proj.weight                  4,194,304   18.74%       365  0.009%     67.08    0.0442%
model.layers.17.self_attn.o_proj.weight                 16,777,216   18.74%     1,399  0.008%     66.34    0.0482%
model.layers.17.self_attn.q_proj.weight                 16,777,216   18.74%     1,297  0.008%     67.30    0.0432%
model.layers.17.self_attn.v_proj.weight                  4,194,304   18.74%       332  0.008%     68.72    0.0367%
model.layers.18.input_layernorm.weight                       4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.18.mlp.down_proj.weight                    58,720,256   18.74%     4,236  0.007%     64.87    0.0571%
model.layers.18.mlp.gate_proj.weight                    58,720,256   18.74%     4,087  0.007%     67.05    0.0444%
model.layers.18.mlp.up_proj.weight                      58,720,256   18.74%     3,988  0.007%     70.47    0.0300%
model.layers.18.post_attention_layernorm.weight              4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.18.self_attn.k_proj.weight                  4,194,304   18.74%       318  0.008%     68.22    0.0388%
model.layers.18.self_attn.o_proj.weight                 16,777,216   18.74%     1,213  0.007%     70.49    0.0299%
model.layers.18.self_attn.q_proj.weight                 16,777,216   18.74%     1,217  0.007%     68.12    0.0393%
model.layers.18.self_attn.v_proj.weight                  4,194,304   18.74%       353  0.008%     67.44    0.0425%
model.layers.19.input_layernorm.weight                       4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.19.mlp.down_proj.weight                    58,720,256   18.74%     4,324  0.007%     65.29    0.0544%
model.layers.19.mlp.gate_proj.weight                    58,720,256   18.74%     4,025  0.007%     68.42    0.0380%
model.layers.19.mlp.up_proj.weight                      58,720,256   18.74%     3,990  0.007%     71.57    0.0264%
model.layers.19.post_attention_layernorm.weight              4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.19.self_attn.k_proj.weight                  4,194,304   18.74%       345  0.008%     66.09    0.0496%
model.layers.19.self_attn.o_proj.weight                 16,777,216   18.74%     1,243  0.007%     68.17    0.0391%
model.layers.19.self_attn.q_proj.weight                 16,777,216   18.74%     1,253  0.007%     67.79    0.0408%
model.layers.19.self_attn.v_proj.weight                  4,194,304   18.74%       293  0.007%     69.31    0.0342%
model.layers.2.input_layernorm.weight                        4,096   18.74%         6  0.146%    106.11    0.0005%
model.layers.2.mlp.down_proj.weight                     58,720,256   18.74%     4,038  0.007%     70.60    0.0295%
model.layers.2.mlp.gate_proj.weight                     58,720,256   18.74%     3,852  0.007%     71.42    0.0268%
model.layers.2.mlp.up_proj.weight                       58,720,256   18.74%     4,040  0.007%     75.82    0.0162%
model.layers.2.post_attention_layernorm.weight               4,096   18.74%         4  0.098%     62.15    0.0780%
model.layers.2.self_attn.k_proj.weight                   4,194,304   18.74%       458  0.011%     61.38    0.0853%
model.layers.2.self_attn.o_proj.weight                  16,777,216   18.74%     1,464  0.009%     67.35    0.0429%
model.layers.2.self_attn.q_proj.weight                  16,777,216   18.74%     1,892  0.011%     67.10    0.0442%
model.layers.2.self_attn.v_proj.weight                   4,194,304   18.74%       384  0.009%     72.30    0.0243%
model.layers.20.input_layernorm.weight                       4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.20.mlp.down_proj.weight                    58,720,256   18.74%     4,119  0.007%     66.93    0.0451%
model.layers.20.mlp.gate_proj.weight                    58,720,256   18.74%     3,746  0.006%     69.67    0.0328%
model.layers.20.mlp.up_proj.weight                      58,720,256   18.74%     3,963  0.007%     69.71    0.0327%
model.layers.20.post_attention_layernorm.weight              4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.20.self_attn.k_proj.weight                  4,194,304   18.74%       396  0.009%     64.17    0.0619%
model.layers.20.self_attn.o_proj.weight                 16,777,216   18.74%     1,168  0.007%     69.25    0.0345%
model.layers.20.self_attn.q_proj.weight                 16,777,216   18.74%     1,147  0.007%     66.14    0.0493%
model.layers.20.self_attn.v_proj.weight                  4,194,304   18.74%       288  0.007%     70.01    0.0316%
model.layers.21.input_layernorm.weight                       4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.21.mlp.down_proj.weight                    58,720,256   18.74%     4,095  0.007%     66.58    0.0469%
model.layers.21.mlp.gate_proj.weight                    58,720,256   18.74%     3,680  0.006%     68.37    0.0382%
model.layers.21.mlp.up_proj.weight                      58,720,256   18.74%     3,955  0.007%     73.41    0.0214%
model.layers.21.post_attention_layernorm.weight              4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.21.self_attn.k_proj.weight                  4,194,304   18.74%       358  0.009%     65.03    0.0560%
model.layers.21.self_attn.o_proj.weight                 16,777,216   18.74%     1,089  0.006%     70.82    0.0288%
model.layers.21.self_attn.q_proj.weight                 16,777,216   18.74%     1,233  0.007%     68.16    0.0391%
model.layers.21.self_attn.v_proj.weight                  4,194,304   18.74%       292  0.007%     66.94    0.0450%
model.layers.22.self_attn.k_proj.weight                  4,194,304   18.74%       359  0.009%     66.34    0.0482%
model.layers.22.self_attn.o_proj.weight                 16,777,216   18.74%     1,145  0.007%     71.83    0.0256%
model.layers.22.self_attn.q_proj.weight                 16,777,216   18.74%     1,261  0.008%     66.75    0.0460%
model.layers.22.self_attn.v_proj.weight                  4,194,304   18.74%       292  0.007%     71.32    0.0272%
model.layers.3.input_layernorm.weight                        4,096   18.74%         3  0.073%    107.07    0.0004%
model.layers.3.mlp.down_proj.weight                     58,720,256   18.74%     4,140  0.007%     67.93    0.0401%
model.layers.3.mlp.gate_proj.weight                     58,720,256   18.74%     3,756  0.006%     69.28    0.0344%
model.layers.3.mlp.up_proj.weight                       58,720,256   18.74%     3,978  0.007%     71.50    0.0266%
model.layers.3.post_attention_layernorm.weight               4,096   18.74%         1  0.024%    122.51    0.0001%
model.layers.3.self_attn.k_proj.weight                   4,194,304   18.74%       441  0.011%     66.64    0.0465%
model.layers.3.self_attn.o_proj.weight                  16,777,216   18.74%     1,270  0.008%     69.28    0.0344%
model.layers.3.self_attn.q_proj.weight                  16,777,216   18.74%     1,608  0.010%     67.99    0.0399%
model.layers.3.self_attn.v_proj.weight                   4,194,304   18.74%       293  0.007%     79.00    0.0112%
model.layers.4.input_layernorm.weight                        4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.4.mlp.down_proj.weight                     58,720,256   18.74%     4,153  0.007%     65.89    0.0507%
model.layers.4.mlp.gate_proj.weight                     58,720,256   18.74%     3,834  0.007%     67.61    0.0416%
model.layers.4.mlp.up_proj.weight                       58,720,256   18.74%     4,011  0.007%     70.81    0.0288%
model.layers.4.post_attention_layernorm.weight               4,096   18.74%         1  0.024%    125.97    0.0001%
model.layers.4.self_attn.k_proj.weight                   4,194,304   18.74%       373  0.009%     61.18    0.0873%
model.layers.4.self_attn.o_proj.weight                  16,777,216   18.74%     1,369  0.008%     68.10    0.0393%
model.layers.4.self_attn.q_proj.weight                  16,777,216   18.74%     1,401  0.008%     65.67    0.0521%
model.layers.4.self_attn.v_proj.weight                   4,194,304   18.74%       336  0.008%     75.43    0.0169%
model.layers.5.input_layernorm.weight                        4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.5.mlp.down_proj.weight                     58,720,256   18.74%     4,347  0.007%     65.89    0.0508%
model.layers.5.mlp.gate_proj.weight                     58,720,256   18.74%     3,863  0.007%     69.15    0.0349%
model.layers.5.mlp.up_proj.weight                       58,720,256   18.74%     4,073  0.007%     71.68    0.0261%
model.layers.5.post_attention_layernorm.weight               4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.5.self_attn.k_proj.weight                   4,194,304   18.74%       374  0.009%     65.63    0.0523%
model.layers.5.self_attn.o_proj.weight                  16,777,216   18.74%     1,255  0.007%     70.67    0.0293%
model.layers.5.self_attn.q_proj.weight                  16,777,216   18.74%     1,357  0.008%     66.96    0.0449%
model.layers.5.self_attn.v_proj.weight                   4,194,304   18.74%       343  0.008%     73.44    0.0213%
model.layers.6.input_layernorm.weight                        4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.6.mlp.down_proj.weight                     58,720,256   18.74%     4,339  0.007%     67.00    0.0447%
model.layers.6.mlp.gate_proj.weight                     58,720,256   18.74%     3,894  0.007%     67.33    0.0430%
model.layers.6.mlp.up_proj.weight                       58,720,256   18.74%     4,183  0.007%     68.89    0.0359%
model.layers.6.post_attention_layernorm.weight               4,096   18.74%         1  0.024%    123.60    0.0001%
model.layers.6.self_attn.k_proj.weight                   4,194,304   18.74%       334  0.008%     66.10    0.0495%
model.layers.6.self_attn.o_proj.weight                  16,777,216   18.74%     1,290  0.008%     66.79    0.0458%
model.layers.6.self_attn.q_proj.weight                  16,777,216   18.74%     1,403  0.008%     66.98    0.0448%
model.layers.6.self_attn.v_proj.weight                   4,194,304   18.74%       298  0.007%     76.04    0.0158%
model.layers.7.input_layernorm.weight                        4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.7.mlp.down_proj.weight                     58,720,256   18.74%     4,267  0.007%     67.57    0.0418%
model.layers.7.mlp.gate_proj.weight                     58,720,256   18.74%     3,810  0.006%     68.00    0.0398%
model.layers.7.mlp.up_proj.weight                       58,720,256   18.74%     4,157  0.007%     69.42    0.0338%
model.layers.7.post_attention_layernorm.weight               4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.7.self_attn.k_proj.weight                   4,194,304   18.74%       319  0.008%     67.97    0.0400%
model.layers.7.self_attn.o_proj.weight                  16,777,216   18.74%     1,365  0.008%     66.07    0.0497%
model.layers.7.self_attn.q_proj.weight                  16,777,216   18.74%     1,423  0.008%     68.17    0.0390%
model.layers.7.self_attn.v_proj.weight                   4,194,304   18.74%       341  0.008%     79.48    0.0106%
model.layers.8.input_layernorm.weight                        4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.8.mlp.down_proj.weight                     58,720,256   18.74%     4,046  0.007%     67.63    0.0416%
model.layers.8.mlp.gate_proj.weight                     58,720,256   18.74%     3,963  0.007%     68.56    0.0373%
model.layers.8.mlp.up_proj.weight                       58,720,256   18.74%     4,179  0.007%     69.26    0.0344%
model.layers.8.post_attention_layernorm.weight               4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.8.self_attn.k_proj.weight                   4,194,304   18.74%       351  0.008%     66.55    0.0471%
model.layers.8.self_attn.o_proj.weight                  16,777,216   18.74%     1,271  0.008%     72.81    0.0229%
model.layers.8.self_attn.q_proj.weight                  16,777,216   18.74%     1,379  0.008%     66.76    0.0459%
model.layers.8.self_attn.v_proj.weight                   4,194,304   18.74%       330  0.008%     70.47    0.0300%
model.layers.9.input_layernorm.weight                        4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.9.mlp.down_proj.weight                     58,720,256   18.74%     4,160  0.007%     65.85    0.0510%
model.layers.9.mlp.gate_proj.weight                     58,720,256   18.74%     3,883  0.007%     67.88    0.0404%
model.layers.9.mlp.up_proj.weight                       58,720,256   18.74%     4,208  0.007%     68.13    0.0392%
model.layers.9.post_attention_layernorm.weight               4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.9.self_attn.k_proj.weight                   4,194,304   18.74%       327  0.008%     69.23    0.0346%
model.layers.9.self_attn.o_proj.weight                  16,777,216   18.74%     1,313  0.008%     74.92    0.0180%
model.layers.9.self_attn.q_proj.weight                  16,777,216   18.74%     1,333  0.008%     67.89    0.0403%
model.layers.9.self_attn.v_proj.weight                   4,194,304   18.74%       347  0.008%     73.30    0.0216%
lm_head.weight                                          131,072,000   18.74%    11,819  0.009%     59.81    0.1022%
model.layers.22.input_layernorm.weight                       4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.22.mlp.down_proj.weight                    58,720,256   18.74%     3,993  0.007%     68.39    0.0381%
model.layers.22.mlp.gate_proj.weight                    58,720,256   18.74%     3,556  0.006%     71.30    0.0272%
model.layers.22.mlp.up_proj.weight                      58,720,256   18.74%     3,849  0.007%     76.69    0.0146%
model.layers.22.post_attention_layernorm.weight              4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.23.input_layernorm.weight                       4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.23.mlp.down_proj.weight                    58,720,256   18.74%     4,070  0.007%     66.02    0.0500%
model.layers.23.mlp.gate_proj.weight                    58,720,256   18.74%     3,742  0.006%     70.49    0.0299%
model.layers.23.mlp.up_proj.weight                      58,720,256   18.74%     3,919  0.007%     74.90    0.0180%
model.layers.23.post_attention_layernorm.weight              4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.23.self_attn.k_proj.weight                  4,194,304   18.74%       369  0.009%     67.32    0.0430%
model.layers.23.self_attn.o_proj.weight                 16,777,216   18.74%     1,101  0.007%     73.29    0.0217%
model.layers.23.self_attn.q_proj.weight                 16,777,216   18.74%     1,247  0.007%     67.08    0.0442%
model.layers.23.self_attn.v_proj.weight                  4,194,304   18.74%       274  0.007%     68.98    0.0356%
model.layers.24.input_layernorm.weight                       4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.24.mlp.down_proj.weight                    58,720,256   18.74%     4,013  0.007%     66.18    0.0491%
model.layers.24.mlp.gate_proj.weight                    58,720,256   18.74%     3,638  0.006%     70.47    0.0300%
model.layers.24.mlp.up_proj.weight                      58,720,256   18.74%     3,769  0.006%     72.63    0.0234%
model.layers.24.post_attention_layernorm.weight              4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.24.self_attn.k_proj.weight                  4,194,304   18.74%       364  0.009%     61.65    0.0827%
model.layers.24.self_attn.o_proj.weight                 16,777,216   18.74%     1,097  0.007%     70.00    0.0316%
model.layers.24.self_attn.q_proj.weight                 16,777,216   18.74%     1,216  0.007%     65.67    0.0521%
model.layers.24.self_attn.v_proj.weight                  4,194,304   18.74%       275  0.007%     68.97    0.0356%
model.layers.25.input_layernorm.weight                       4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.25.mlp.down_proj.weight                    58,720,256   18.74%     3,860  0.007%     69.31    0.0343%
model.layers.25.mlp.gate_proj.weight                    58,720,256   18.74%     3,551  0.006%     70.95    0.0284%
model.layers.25.mlp.up_proj.weight                      58,720,256   18.74%     3,909  0.007%     73.87    0.0203%
model.layers.25.post_attention_layernorm.weight              4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.25.self_attn.k_proj.weight                  4,194,304   18.74%       352  0.008%     63.45    0.0673%
model.layers.25.self_attn.o_proj.weight                 16,777,216   18.74%     1,042  0.006%     67.83    0.0406%
model.layers.25.self_attn.q_proj.weight                 16,777,216   18.74%     1,177  0.007%     66.44    0.0477%
model.layers.25.self_attn.v_proj.weight                  4,194,304   18.74%       300  0.007%     67.29    0.0432%
model.layers.26.input_layernorm.weight                       4,096   18.74%         1  0.024%    123.65    0.0001%
model.layers.26.mlp.down_proj.weight                    58,720,256   18.74%     3,958  0.007%     67.93    0.0401%
model.layers.26.mlp.gate_proj.weight                    58,720,256   18.74%     3,780  0.006%     70.55    0.0297%
model.layers.26.mlp.up_proj.weight                      58,720,256   18.74%     3,904  0.007%     72.71    0.0231%
model.layers.26.post_attention_layernorm.weight              4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.26.self_attn.k_proj.weight                  4,194,304   18.74%       341  0.008%     63.73    0.0651%
model.layers.26.self_attn.o_proj.weight                 16,777,216   18.74%       991  0.006%     75.37    0.0170%
model.layers.26.self_attn.q_proj.weight                 16,777,216   18.74%     1,258  0.007%     67.71    0.0412%
model.layers.26.self_attn.v_proj.weight                  4,194,304   18.74%       298  0.007%     70.32    0.0305%
model.layers.27.input_layernorm.weight                       4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.27.mlp.down_proj.weight                    58,720,256   18.74%     3,993  0.007%     69.31    0.0342%
model.layers.27.mlp.gate_proj.weight                    58,720,256   18.74%     3,615  0.006%     69.65    0.0329%
model.layers.27.mlp.up_proj.weight                      58,720,256   18.74%     4,009  0.007%     73.79    0.0204%
model.layers.27.post_attention_layernorm.weight              4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.27.self_attn.k_proj.weight                  4,194,304   18.74%       330  0.008%     63.66    0.0656%
model.layers.27.self_attn.o_proj.weight                 16,777,216   18.74%     1,113  0.007%     73.88    0.0202%
model.layers.27.self_attn.q_proj.weight                 16,777,216   18.74%     1,283  0.008%     65.54    0.0528%
model.layers.27.self_attn.v_proj.weight                  4,194,304   18.74%       297  0.007%     68.69    0.0368%
model.layers.28.input_layernorm.weight                       4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.28.mlp.down_proj.weight                    58,720,256   18.74%     3,836  0.007%     67.26    0.0434%
model.layers.28.mlp.gate_proj.weight                    58,720,256   18.74%     3,804  0.006%     68.64    0.0370%
model.layers.28.mlp.up_proj.weight                      58,720,256   18.74%     3,854  0.007%     71.50    0.0266%
model.layers.28.post_attention_layernorm.weight              4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.28.self_attn.k_proj.weight                  4,194,304   18.74%       398  0.009%     60.96    0.0896%
model.layers.28.self_attn.o_proj.weight                 16,777,216   18.74%     1,071  0.006%     69.77    0.0325%
model.layers.28.self_attn.q_proj.weight                 16,777,216   18.74%     1,266  0.008%     64.64    0.0586%
model.layers.28.self_attn.v_proj.weight                  4,194,304   18.74%       352  0.008%     68.93    0.0358%
model.layers.29.input_layernorm.weight                       4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.29.mlp.down_proj.weight                    58,720,256   18.74%     3,925  0.007%     69.98    0.0317%
model.layers.29.mlp.gate_proj.weight                    58,720,256   18.74%     3,868  0.007%     69.61    0.0331%
model.layers.29.mlp.up_proj.weight                      58,720,256   18.74%     3,692  0.006%     72.75    0.0230%
model.layers.29.post_attention_layernorm.weight              4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.29.self_attn.k_proj.weight                  4,194,304   18.74%       379  0.009%     61.90    0.0804%
model.layers.29.self_attn.o_proj.weight                 16,777,216   18.74%     1,350  0.008%     64.82    0.0574%
model.layers.29.self_attn.q_proj.weight                 16,777,216   18.74%     1,475  0.009%     65.06    0.0558%
model.layers.29.self_attn.v_proj.weight                  4,194,304   18.74%       364  0.009%     68.73    0.0366%
model.layers.30.input_layernorm.weight                       4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.30.mlp.down_proj.weight                    58,720,256   18.74%     4,032  0.007%     61.30    0.0861%
model.layers.30.mlp.gate_proj.weight                    58,720,256   18.74%     3,834  0.007%     70.08    0.0313%
model.layers.30.mlp.up_proj.weight                      58,720,256   18.74%     3,788  0.006%     71.46    0.0267%
model.layers.30.post_attention_layernorm.weight              4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.30.self_attn.k_proj.weight                  4,194,304   18.74%       416  0.010%     62.84    0.0721%
model.layers.30.self_attn.o_proj.weight                 16,777,216   18.74%     1,165  0.007%     66.45    0.0476%
model.layers.30.self_attn.q_proj.weight                 16,777,216   18.74%     1,454  0.009%     64.17    0.0619%
model.layers.30.self_attn.v_proj.weight                  4,194,304   18.74%       380  0.009%     65.68    0.0520%
model.layers.31.input_layernorm.weight                       4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.31.mlp.down_proj.weight                    58,720,256   18.74%     4,423  0.008%     64.87    0.0570%
