Model: Qwen_Qwen2.5-7B  r_cap=4  W=4096  scheme=bitmap+mantissa-borrow
layer                                                        numel   saved%   loss_ct   loss%   SNR(dB)  rms_norm%
model.layers.11.mlp.gate_proj.weight                    67,895,296   18.74%     5,484  0.008%     65.37    0.0539%
model.layers.11.mlp.up_proj.weight                      67,895,296   18.74%     5,413  0.008%     65.31    0.0543%
model.layers.11.self_attn.k_proj.weight                  1,835,008   18.74%       181  0.010%     66.67    0.0464%
model.layers.11.self_attn.o_proj.weight                 12,845,056   18.74%     1,059  0.008%     65.95    0.0504%
model.layers.11.self_attn.q_proj.weight                 12,845,056   18.74%     1,132  0.009%     64.43    0.0600%
model.layers.11.self_attn.v_proj.weight                  1,835,008   18.74%       152  0.008%     66.44    0.0477%
model.layers.12.mlp.down_proj.weight                    67,895,296   18.74%     6,314  0.009%     62.36    0.0762%
model.layers.12.mlp.gate_proj.weight                    67,895,296   18.74%     5,608  0.008%     64.37    0.0605%
model.layers.12.mlp.up_proj.weight                      67,895,296   18.74%     5,710  0.008%     64.18    0.0618%
model.layers.12.self_attn.k_proj.weight                  1,835,008   18.74%       183  0.010%     67.91    0.0402%
model.layers.12.self_attn.o_proj.weight                 12,845,056   18.74%     1,041  0.008%     66.68    0.0463%
model.layers.12.self_attn.q_proj.weight                 12,845,056   18.74%     1,146  0.009%     65.18    0.0551%
model.layers.12.self_attn.v_proj.weight                  1,835,008   18.74%       145  0.008%     69.98    0.0317%
model.layers.13.mlp.down_proj.weight                    67,895,296   18.74%     6,004  0.009%     62.53    0.0747%
model.layers.13.mlp.gate_proj.weight                    67,895,296   18.74%     5,742  0.008%     62.07    0.0788%
model.layers.13.mlp.up_proj.weight                      67,895,296   18.74%     5,597  0.008%     63.25    0.0688%
model.layers.13.self_attn.k_proj.weight                  1,835,008   18.74%       161  0.009%     63.06    0.0703%
model.layers.13.self_attn.o_proj.weight                 12,845,056   18.74%     1,299  0.010%     61.93    0.0801%
model.layers.13.self_attn.q_proj.weight                 12,845,056   18.74%     1,240  0.010%     63.22    0.0690%
model.layers.13.self_attn.v_proj.weight                  1,835,008   18.74%       201  0.011%     67.39    0.0427%
model.layers.14.mlp.up_proj.weight                      67,895,296   18.74%     5,836  0.009%     63.33    0.0682%
model.layers.14.self_attn.k_proj.weight                  1,835,008   18.74%       178  0.010%     63.66    0.0657%
model.layers.14.self_attn.o_proj.weight                 12,845,056   18.74%     1,359  0.011%     58.98    0.1124%
model.layers.14.self_attn.q_proj.weight                 12,845,056   18.74%     1,200  0.009%     63.47    0.0671%
model.layers.14.self_attn.v_proj.weight                  1,835,008   18.74%       171  0.009%     65.09    0.0556%
model.layers.6.mlp.down_proj.weight                     67,895,296   18.74%     5,586  0.008%     59.79    0.1025%
model.layers.6.mlp.gate_proj.weight                     67,895,296   18.74%     6,352  0.009%     62.06    0.0789%
model.layers.6.mlp.up_proj.weight                       67,895,296   18.74%     5,019  0.007%     64.53    0.0594%
model.layers.7.mlp.down_proj.weight                     67,895,296   18.74%     5,905  0.009%     61.28    0.0863%
model.layers.7.mlp.gate_proj.weight                     67,895,296   18.74%     5,715  0.008%     63.70    0.0653%
model.layers.7.mlp.up_proj.weight                       67,895,296   18.74%     5,447  0.008%     64.71    0.0581%
model.layers.7.self_attn.k_proj.weight                   1,835,008   18.74%       191  0.010%     63.76    0.0649%
model.layers.7.self_attn.o_proj.weight                  12,845,056   18.74%     1,213  0.009%     65.40    0.0537%
model.layers.7.self_attn.q_proj.weight                  12,845,056   18.74%     1,093  0.009%     65.94    0.0505%
model.layers.7.self_attn.v_proj.weight                   1,835,008   18.74%       174  0.009%     66.88    0.0453%
model.layers.8.mlp.down_proj.weight                     67,895,296   18.74%     5,820  0.009%     62.60    0.0741%
model.layers.8.mlp.gate_proj.weight                     67,895,296   18.74%     5,591  0.008%     64.26    0.0612%
model.layers.8.mlp.up_proj.weight                       67,895,296   18.74%     5,310  0.008%     65.56    0.0527%
model.layers.8.self_attn.k_proj.weight                   1,835,008   18.74%       150  0.008%     67.63    0.0416%
model.layers.8.self_attn.o_proj.weight                  12,845,056   18.74%     1,130  0.009%     63.64    0.0658%
model.layers.8.self_attn.q_proj.weight                  12,845,056   18.74%     1,214  0.009%     65.59    0.0525%
model.layers.8.self_attn.v_proj.weight                   1,835,008   18.74%       124  0.007%     66.92    0.0451%
model.layers.9.mlp.down_proj.weight                     67,895,296   18.74%     5,261  0.008%     62.41    0.0758%
model.layers.9.mlp.gate_proj.weight                     67,895,296   18.74%     5,715  0.008%     67.06    0.0444%
model.layers.9.mlp.up_proj.weight                       67,895,296   18.74%     4,760  0.007%     66.20    0.0490%
model.layers.9.self_attn.k_proj.weight                   1,835,008   18.74%       184  0.010%     62.04    0.0791%
model.layers.9.self_attn.o_proj.weight                  12,845,056   18.74%     1,235  0.010%     62.05    0.0790%
model.layers.9.self_attn.q_proj.weight                  12,845,056   18.74%     1,161  0.009%     64.13    0.0622%
model.layers.9.self_attn.v_proj.weight                   1,835,008   18.74%       171  0.009%     74.97    0.0178%
model.layers.14.mlp.down_proj.weight                    67,895,296   18.74%     6,508  0.010%     60.96    0.0895%
model.layers.14.mlp.gate_proj.weight                    67,895,296   18.74%     5,878  0.009%     62.22    0.0774%
model.layers.15.mlp.down_proj.weight                    67,895,296   18.74%     6,098  0.009%     62.04    0.0791%
model.layers.15.mlp.gate_proj.weight                    67,895,296   18.74%     5,915  0.009%     63.73    0.0651%
model.layers.15.mlp.up_proj.weight                      67,895,296   18.74%     6,015  0.009%     64.11    0.0623%
model.layers.15.self_attn.k_proj.weight                  1,835,008   18.74%       216  0.012%     59.56    0.1052%
model.layers.15.self_attn.o_proj.weight                 12,845,056   18.74%     1,128  0.009%     64.37    0.0605%
model.layers.15.self_attn.q_proj.weight                 12,845,056   18.74%     1,297  0.010%     63.80    0.0646%
model.layers.15.self_attn.v_proj.weight                  1,835,008   18.74%       159  0.009%     64.89    0.0570%
model.layers.16.mlp.down_proj.weight                    67,895,296   18.74%     5,924  0.009%     63.63    0.0658%
model.layers.16.mlp.gate_proj.weight                    67,895,296   18.74%     5,550  0.008%     64.54    0.0593%
model.layers.16.mlp.up_proj.weight                      67,895,296   18.74%     5,700  0.008%     65.63    0.0523%
model.layers.16.self_attn.k_proj.weight                  1,835,008   18.74%       171  0.009%     67.02    0.0446%
model.layers.16.self_attn.o_proj.weight                 12,845,056   18.74%     1,367  0.011%     61.30    0.0861%
model.layers.16.self_attn.q_proj.weight                 12,845,056   18.74%     1,108  0.009%     65.01    0.0562%
model.layers.16.self_attn.v_proj.weight                  1,835,008   18.74%       180  0.010%     68.87    0.0360%
model.layers.17.mlp.down_proj.weight                    67,895,296   18.74%     6,342  0.009%     63.34    0.0681%
model.layers.17.mlp.gate_proj.weight                    67,895,296   18.74%     5,760  0.008%     64.34    0.0607%
model.layers.17.mlp.up_proj.weight                      67,895,296   18.74%     5,810  0.009%     65.00    0.0562%
model.layers.17.self_attn.k_proj.weight                  1,835,008   18.74%       161  0.009%     62.16    0.0780%
model.layers.17.self_attn.o_proj.weight                 12,845,056   18.74%     1,338  0.010%     65.12    0.0555%
model.layers.17.self_attn.q_proj.weight                 12,845,056   18.74%     1,059  0.008%     66.21    0.0489%
model.layers.17.self_attn.v_proj.weight                  1,835,008   18.74%       155  0.008%     68.98    0.0356%
model.layers.18.mlp.down_proj.weight                    67,895,296   18.74%     6,263  0.009%     62.25    0.0772%
model.layers.18.mlp.gate_proj.weight                    67,895,296   18.74%     6,018  0.009%     62.18    0.0778%
model.layers.18.mlp.up_proj.weight                      67,895,296   18.74%     5,825  0.009%     65.25    0.0546%
model.layers.18.self_attn.k_proj.weight                  1,835,008   18.74%       165  0.009%     64.35    0.0606%
model.layers.18.self_attn.o_proj.weight                 12,845,056   18.74%     1,449  0.011%     64.37    0.0605%
model.layers.18.self_attn.q_proj.weight                 12,845,056   18.74%     1,310  0.010%     63.71    0.0652%
model.layers.18.self_attn.v_proj.weight                  1,835,008   18.74%       180  0.010%     73.44    0.0213%
model.layers.19.mlp.down_proj.weight                    67,895,296   18.74%     5,869  0.009%     62.79    0.0725%
model.layers.19.mlp.gate_proj.weight                    67,895,296   18.74%     5,673  0.008%     62.72    0.0731%
model.layers.19.mlp.up_proj.weight                      67,895,296   18.74%     5,753  0.008%     66.63    0.0466%
model.layers.19.self_attn.k_proj.weight                  1,835,008   18.74%       171  0.009%     63.32    0.0683%
model.layers.19.self_attn.o_proj.weight                 12,845,056   18.74%     1,183  0.009%     66.27    0.0486%
model.layers.19.self_attn.q_proj.weight                 12,845,056   18.74%     1,212  0.009%     64.26    0.0612%
model.layers.19.self_attn.v_proj.weight                  1,835,008   18.74%       174  0.009%     84.67    0.0058%
model.layers.20.mlp.down_proj.weight                    67,895,296   18.74%     6,460  0.010%     61.04    0.0887%
model.layers.20.mlp.gate_proj.weight                    67,895,296   18.74%     5,998  0.009%     62.06    0.0789%
model.layers.20.mlp.up_proj.weight                      67,895,296   18.74%     6,050  0.009%     63.19    0.0692%
model.layers.20.self_attn.k_proj.weight                  1,835,008   18.74%       155  0.008%     66.74    0.0460%
model.layers.20.self_attn.o_proj.weight                 12,845,056   18.74%     1,153  0.009%     65.39    0.0537%
model.layers.20.self_attn.q_proj.weight                 12,845,056   18.74%     1,066  0.008%     64.45    0.0599%
model.layers.20.self_attn.v_proj.weight                  1,835,008   18.74%       170  0.009%     71.71    0.0260%
model.layers.21.mlp.down_proj.weight                    67,895,296   18.74%     6,303  0.009%     61.89    0.0805%
model.layers.21.mlp.gate_proj.weight                    67,895,296   18.74%     5,795  0.009%     62.75    0.0728%
model.layers.21.mlp.up_proj.weight                      67,895,296   18.74%     5,870  0.009%     64.76    0.0578%
model.layers.21.self_attn.k_proj.weight                  1,835,008   18.74%       168  0.009%     62.63    0.0739%
model.layers.21.self_attn.o_proj.weight                 12,845,056   18.74%     1,366  0.011%     63.90    0.0638%
model.layers.21.self_attn.q_proj.weight                 12,845,056   18.74%     1,139  0.009%     64.81    0.0575%
model.layers.21.self_attn.v_proj.weight                  1,835,008   18.74%       184  0.010%     64.62    0.0587%
model.layers.22.mlp.gate_proj.weight                    67,895,296   18.74%     5,753  0.008%     63.80    0.0646%
model.layers.22.mlp.up_proj.weight                      67,895,296   18.74%     5,618  0.008%     64.88    0.0570%
model.layers.22.self_attn.k_proj.weight                  1,835,008   18.74%       161  0.009%     67.90    0.0403%
model.layers.22.self_attn.o_proj.weight                 12,845,056   18.74%     1,172  0.009%     65.80    0.0513%
model.layers.22.self_attn.q_proj.weight                 12,845,056   18.74%     1,147  0.009%     64.54    0.0593%
model.layers.22.self_attn.v_proj.weight                  1,835,008   18.74%       265  0.014%     68.24    0.0387%
lm_head.weight                                          544,997,376   18.74%    78,773  0.014%     49.74    0.3259%
model.layers.22.mlp.down_proj.weight                    67,895,296   18.74%     6,195  0.009%     62.43    0.0756%
model.layers.23.mlp.down_proj.weight                    67,895,296   18.74%     5,858  0.009%     63.80    0.0645%
model.layers.23.mlp.gate_proj.weight                    67,895,296   18.74%     5,305  0.008%     65.72    0.0518%
model.layers.23.mlp.up_proj.weight                      67,895,296   18.74%     5,257  0.008%     67.38    0.0428%
model.layers.23.self_attn.k_proj.weight                  1,835,008   18.74%       172  0.009%     62.31    0.0766%
model.layers.23.self_attn.o_proj.weight                 12,845,056   18.74%     1,191  0.009%     66.47    0.0475%
model.layers.23.self_attn.q_proj.weight                 12,845,056   18.74%     1,179  0.009%     65.27    0.0545%
model.layers.23.self_attn.v_proj.weight                  1,835,008   18.74%       315  0.017%     58.84    0.1143%
model.layers.24.mlp.down_proj.weight                    67,895,296   18.74%     5,972  0.009%     63.22    0.0690%
model.layers.24.mlp.gate_proj.weight                    67,895,296   18.74%     4,908  0.007%     66.58    0.0469%
model.layers.24.mlp.up_proj.weight                      67,895,296   18.74%     5,366  0.008%     67.36    0.0428%
model.layers.24.self_attn.k_proj.weight                  1,835,008   18.74%       165  0.009%     64.45    0.0599%
model.layers.24.self_attn.o_proj.weight                 12,845,056   18.74%     1,082  0.008%     70.22    0.0308%
model.layers.24.self_attn.q_proj.weight                 12,845,056   18.74%     1,183  0.009%     63.74    0.0650%
model.layers.24.self_attn.v_proj.weight                  1,835,008   18.74%       254  0.014%     75.58    0.0166%
model.layers.25.mlp.down_proj.weight                    67,895,296   18.74%     5,936  0.009%     65.03    0.0560%
model.layers.25.mlp.gate_proj.weight                    67,895,296   18.74%     5,024  0.007%     65.49    0.0531%
model.layers.25.mlp.up_proj.weight                      67,895,296   18.74%     5,276  0.008%     66.19    0.0490%
model.layers.25.self_attn.k_proj.weight                  1,835,008   18.74%       207  0.011%     59.98    0.1002%
model.layers.25.self_attn.o_proj.weight                 12,845,056   18.74%     1,097  0.009%     73.31    0.0216%
model.layers.25.self_attn.q_proj.weight                 12,845,056   18.74%     1,191  0.009%     64.59    0.0590%
model.layers.25.self_attn.v_proj.weight                  1,835,008   18.74%       230  0.013%     71.19    0.0276%
model.layers.26.mlp.down_proj.weight                    67,895,296   18.74%     6,080  0.009%     64.58    0.0591%
model.layers.26.mlp.gate_proj.weight                    67,895,296   18.74%     5,101  0.008%     65.09    0.0557%
model.layers.26.mlp.up_proj.weight                      67,895,296   18.74%     5,483  0.008%     66.20    0.0490%
model.layers.26.self_attn.k_proj.weight                  1,835,008   18.74%       247  0.013%     60.02    0.0998%
model.layers.26.self_attn.o_proj.weight                 12,845,056   18.74%     1,143  0.009%     68.73    0.0366%
model.layers.26.self_attn.q_proj.weight                 12,845,056   18.74%     1,340  0.010%     62.41    0.0758%
model.layers.26.self_attn.v_proj.weight                  1,835,008   18.74%       236  0.013%     62.07    0.0788%
model.layers.27.mlp.down_proj.weight                    67,895,296   18.74%     6,216  0.009%     61.62    0.0830%
model.layers.27.mlp.gate_proj.weight                    67,895,296   18.74%     5,408  0.008%     67.21    0.0436%
model.layers.27.mlp.up_proj.weight                      67,895,296   18.74%     5,336  0.008%     69.11    0.0350%
model.layers.27.self_attn.k_proj.weight                  1,835,008   18.74%       187  0.010%     61.58    0.0834%
model.layers.27.self_attn.o_proj.weight                 12,845,056   18.74%     1,322  0.010%     68.20    0.0389%
model.layers.27.self_attn.q_proj.weight                 12,845,056   18.74%     1,314  0.010%     62.20    0.0776%
model.layers.27.self_attn.v_proj.weight                  1,835,008   18.74%       203  0.011%     61.88    0.0806%
------------------------------------------------------------------------------------------------------------------
TOTAL                                                   7,615,283,200   18.74% 3,665,023  0.048%
